,category,content
0,morning,不要滑了，早點睡
1,morning,早安，美好
2,night,告別今日的疲憊，好好的休息，相約明日的時候，好好的加油，祝美夢成真
3,others,"生命裡，總有一次，你會因自己而驚豔;總有一天，你會因自己而感動。
那顆心是爽朗的，人生就不存在雨天。"
4,afternoon,午安，祝福你健康，快樂
5,night,晚安，時間是公平的，心在哪，時間在哪，行動在哪，收穫就在哪。
6,night,晚安，我們最終學會的，是不要錯過自己
7,night,晚安好眠，快樂就好，千好，萬好
8,others,週二快樂，事事如意樣樣好
9,night,晚安，舒心愉快
10,night,晚安，把心中最美的祝福，隨風飄向遠方的你
11,morning,早安美好
12,holiday,假日愉快，幸福喜樂每一天
13,night,晚安，明月伴心蓮，無憂亦無慮，好夢甜甜
14,others,祝你幸福
15,others,人生就是一本書，封面是父母給的，內容是自己寫的
16,others,心存感激
17,night,晚安，吉祥，快樂
18,night,晚安，寧靜的夜，送上最深的祝福，願您幸福安康
19,afternoon,午安愉快
20,morning,早上好，一心一意祝福您，十全十美的人生
21,night,晚安，放鬆心情，溫馨入眠
22,night,晚安，拋開煩惱，睡到天亮，就是幸福
23,night,晚安，真心祝福：順心如意
24,night,晚安，一聲問候，快樂順心，一句祝福，好夢好甜
25,morning,晨起一聲早，祝事事都美好
26,night,晚安，美麗的夜晚，願美麗的夢伴你眠
27,morning,早安加油，享受每一次挑戰，你會因此變得更優秀。
28,morning,早安，小週末快樂，幸福
29,others,週末快樂
30,night,晚安，順心如意，幸福快樂
31,night,晚安，祝你好夢，朋友
32,morning,早安，健康快樂
33,night,晚安，健康快樂，就是幸福
34,morning,早安，晨曦曙光刹那間，太陽整個浮出海面，絢爛的陽光照亮了大地，也照亮了我們的內心
35,morning,早安唷！每天的問候，雖然很平常，卻是很真誠
36,others,感謝分享，錢母財神
37,holiday,祝中秋節愉快
38,afternoon,午安，每天好心情
39,holiday,假日愉快，好運相隨，身體健康
40,morning,早安，健康就是福
41,holiday,早安吉祥，週末假日，休閒愉快
42,night,晚安，金鼠迎新春，好運一整年
43,night,晚安，夜美溫馨，甜夢好眠。
44,night,晚安，把幸福快樂送給您
45,morning,早安，大年初八富貴吉祥，萬事大吉，幸福安康
46,holiday,新年快樂，喜迎元旦，身體健康，事業發達，財運旺旺
47,night,隨夢想之翼啟航，願望成真
48,others,滿滿的祝福，健康快樂
49,holiday,新年快樂
50,holiday,虎哩快樂
51,holiday,虎年大吉，元旦快樂
52,holiday,新年快樂，感恩，迎接新年，好運旺旺來
53,holiday,新年快樂，一家和和睦睦，一生快快樂樂，一年開開心心，一生健健康康
54,holiday,一元復始，萬象更新，新年快樂，萬事都如意
55,holiday,虎年行大運，新年快樂，但願美好常如心
56,holiday,元旦快樂，好運連連，新年新希望，幸福又安康
57,morning,早安，順心，吉祥如意，幸福滿滿
58,holiday,祝大家新年快樂，虎年大吉
59,holiday,新年快樂，萬事亨通
60,holiday,新年快樂，虎年吉祥
61,others,感恩一年的安好，珍惜所有的美好，感謝好友一起分享，讓生活更增添精彩
62,others,新的一年，祝福好友，萬象更新，萬事如意
63,others,今年的最後一天，祝您明年一切順利
64,others,謝謝您無微不至的照顧，明年也要繼續喔
65,night,晚安，歲末夜晚的祝福，夜夜舒心好眠
