,Unnamed: 0,category,content
0,0,morning,不要滑了，早點睡
1,1,morning,早安，美好
2,2,night,告別今日的疲憊，好好的休息，相約明日的時候，好好的加油，祝美夢成真
3,3,others,"生命裡，總有一次，你會因自己而驚豔;總有一天，你會因自己而感動。
那顆心是爽朗的，人生就不存在雨天。"
4,4,afternoon,午安，祝福你健康，快樂
5,5,night,晚安，時間是公平的，心在哪，時間在哪，行動在哪，收穫就在哪。
6,6,night,晚安，我們最終學會的，是不要錯過自己
7,7,night,晚安好眠，快樂就好，千好，萬好
8,8,others,週二快樂，事事如意樣樣好
9,9,night,晚安，舒心愉快
10,10,night,晚安，把心中最美的祝福，隨風飄向遠方的你
11,11,morning,早安美好
12,12,holiday,假日愉快，幸福喜樂每一天
13,13,night,晚安，明月伴心蓮，無憂亦無慮，好夢甜甜
14,14,others,祝你幸福
15,15,others,人生就是一本書，封面是父母給的，內容是自己寫的
16,16,others,心存感激
17,17,night,晚安，吉祥，快樂
18,18,night,晚安，寧靜的夜，送上最深的祝福，願您幸福安康
19,19,afternoon,午安愉快
20,20,morning,早上好，一心一意祝福您，十全十美的人生
21,21,night,晚安，放鬆心情，溫馨入眠
22,22,night,晚安，拋開煩惱，睡到天亮，就是幸福
23,23,night,晚安，真心祝福：順心如意
24,24,night,晚安，一聲問候，快樂順心，一句祝福，好夢好甜
25,25,morning,晨起一聲早，祝事事都美好
26,26,night,晚安，美麗的夜晚，願美麗的夢伴你眠
27,27,morning,早安加油，享受每一次挑戰，你會因此變得更優秀。
28,28,morning,早安，小週末快樂，幸福
29,29,others,週末快樂
30,30,night,晚安，順心如意，幸福快樂
31,31,night,晚安，祝你好夢，朋友
32,32,morning,早安，健康快樂
33,33,night,晚安，健康快樂，就是幸福
34,34,morning,早安，晨曦曙光刹那間，太陽整個浮出海面，絢爛的陽光照亮了大地，也照亮了我們的內心
35,35,morning,早安唷！每天的問候，雖然很平常，卻是很真誠
36,36,others,感謝分享，錢母財神
37,37,holiday,祝中秋節愉快
38,38,afternoon,午安，每天好心情
39,39,holiday,假日愉快，好運相隨，身體健康
40,40,morning,早安，健康就是福
41,41,holiday,早安吉祥，週末假日，休閒愉快
42,42,night,晚安，金鼠迎新春，好運一整年
43,43,night,晚安，夜美溫馨，甜夢好眠。
44,44,night,晚安，把幸福快樂送給您
45,45,morning,早安，大年初八富貴吉祥，萬事大吉，幸福安康
46,46,holiday,新年快樂，喜迎元旦，身體健康，事業發達，財運旺旺
47,47,night,隨夢想之翼啟航，願望成真
48,48,others,滿滿的祝福，健康快樂
49,49,holiday,新年快樂
50,52,holiday,新年快樂，感恩，迎接新年，好運旺旺來
51,53,holiday,新年快樂，一家和和睦睦，一生快快樂樂，一年開開心心，一生健健康康
52,54,holiday,一元復始，萬象更新，新年快樂，萬事都如意
53,56,holiday,元旦快樂，好運連連，新年新希望，幸福又安康
54,57,morning,早安，順心，吉祥如意，幸福滿滿
55,59,holiday,新年快樂，萬事亨通
56,61,others,感恩一年的安好，珍惜所有的美好，感謝好友一起分享，讓生活更增添精彩
57,62,others,新的一年，祝福好友，萬象更新，萬事如意
58,63,others,今年的最後一天，祝您明年一切順利
59,64,others,謝謝您無微不至的照顧，明年也要繼續喔
60,65,night,晚安，歲末夜晚的祝福，夜夜舒心好眠
61,66,holiday,新年快樂，吉祥如意，壞的走，健康留，疾病走，新的一年，幸福快樂，好運一整年
62,67,others,希望疫情平息，病毒遠離
63,68,others,不求多富貴，只要家人朋友能一切健康
64,69,others,每一天都會是一種感動，每一天都會有莫名的勇氣，每一刻都會有無比的信心
65,70,others,謝謝你，就是因為有你，感恩，今天謝謝有你，明年感動再現
66,71,others,一年將過，感恩，感謝這一年關心我的人，願新的一年大家都事事如意，多年後我們一樣健康，快樂
67,72,others,今年就要結束了，忘記過去的悲傷，拋棄不快和欠悔，展望新的一年，走進明明亮亮，邁入平平坦坦
68,73,holiday,祝福大家：新年快樂
69,74,others,今年有你真好，感恩好友一路相伴，明年願你更好，美好延續
70,75,others,新的一年，祝願好友，大吉大利，事事如意，闔家安好，過個大好年
71,76,morning,早安，辭舊迎新，明年會更好，祝福您！天天都美好
72,77,others,今年即將過去，感恩這一年的陪伴，期許壞的走，好的來，明年吉祥圓滿
73,78,others,今年即將結束，感謝這一年的陪伴，感恩有你，心存善念
74,79,others,祝福，友誼萬歲萬萬歲
75,80,others,感恩的心，感謝有你
76,81,others,祝你有美好的一年
77,82,afternoon,午安，愉快好心情
78,83,holiday,新年快樂，送上我最真摯的祝福，和氣吉祥皆快樂，四季豐收過新年，人和事和萬事和
79,84,others,今年即將結束，感恩所有的美好，安全度過疫情病變，願新的一年會更好，病毒遠離
80,85,others,感謝好友一路相伴，溫馨延續，祝福你明年會更好，鴻運當頭
81,86,others,今年進入尾聲，在此祝福大家，明年合家團圓，健康喜樂
82,87,holiday,新的一年，祝福朋友，喜事連連，健康到永遠，歡樂滿家園，新年快樂
83,88,holiday,新年快樂，元旦假期愉快
84,89,others,當你心中有美時，從你眼中看到的世界將會不同
85,90,others,常常使別人過快樂日子的人，自己也必定很快樂
86,91,holiday,迎接新年，健康快樂
87,92,christmas,聖誕節快樂，傳送最真誠的祝福，願您開心相伴，幸福甜蜜
88,93,others,送祝福來了唷
89,94,morning,祝你天天好心情，事事都如意，早安。
90,95,holiday,今年感恩一路相伴，新年我們繼續精彩，聖誕節快樂，新年萬事如意
91,96,christmas,聖誕節快樂
92,97,christmas,平安夜，聖誕夜，祝福大家聖誕快樂
93,98,christmas,今晚平安夜，送你滿滿的祝福
94,99,night,傍晚美好，舒心愉悅，幸福溫馨，如意安康
95,100,christmas,聖誕節快樂，健康，幸福，如意，吉祥
96,101,christmas,平安夜，願我的祝福為你增添溫暖，伴隨你新的一年幸福綿延
97,102,christmas,祝福您平安夜愉快，聖誕節快樂
98,103,others,健康順心
99,104,christmas,平安夜祝福您快快樂樂
100,105,morning,早安，日日開心，一切如意
101,106,morning,早安，富貴吉祥，闔家福氣滿滿，如意美好
102,107,morning,早安，健康喜樂
103,108,others,美麗星期五，一切美好，事事順心
104,109,christmas,賀聖誕，今晚是平安夜，祝福大家健康幸福
105,110,christmas,平安夜，濃情平安夜，溫暖你我心
106,111,afternoon,午安唷，心情愉快，生活愜意
107,112,morning,你好早安，快樂隨喜
108,113,morning,早安，天氣再冷，都有我溫暖的問候，健康，快樂
109,114,morning,早安，生活像一杯水，需要靠自己慢慢品味，才能在平淡中活出精彩。
110,115,morning,早安。願你一生幸福，祝你一世快樂健康，福杯滿溢，諸事安好
111,116,morning,道一句早安，光芒萬丈，灑下的祝福伴隨在清晨的第一縷陽光！
112,117,morning,起個早，收拾一下心情給自己一個希望，新的季節有個新的開始，美好的一天屬於你！
113,118,others,陽光給我好心情，享受清新好空氣。新的一天，新期待，美好生活常伴您！
114,119,morning,一句早安朋友，願你好運久久！
115,120,morning,早安，朋友！願你這朵生命之花時刻絢爛奪目。
116,121,morning,品嘗幸福的意義，接受祝福的信息，祝你早安溫馨無比！
117,122,morning,清晨的第一聲問候由我輕輕送上：早安，朋友，祝福你一天都有好心情！
118,123,morning,朝陽每天依舊，牽掛日久彌新。不論何時何地，祝福永遠相隨。早安！
119,124,morning,道一聲朋友，問一句早安，只願你的笑容永遠燦爛，生活永遠幸福！
120,125,morning,送你的美好願望，早安朋友！
121,126,morning,晨起的雨露甜甜，送去我對你的感言，早安。
122,127,morning,祝福記在心間，溫馨道聲早安。
123,128,morning,早安，朋友！鳥鳴了，花香了，幸福永遠跟隨了。
124,129,morning,清晨的鮮花無比美麗，代表我祝福的心意：祝早安帶笑意，心情樂無比！
125,130,morning,太陽冉冉升起，世界的美好送給你。我美好的祝福呈現給你，祝你早安！
126,131,morning,朋友，我要讓你每天聽見，早安！
127,132,morning,新的一天新的開始！早安。
128,133,morning,清晨，朋友的簡訊送來溫馨祝願。朋友，早安！
129,134,morning,輕輕的問候一聲：早安開心一整天。
130,135,others,這是最好的時刻，心懷期待，虔誠敬仰，堅定信念，向世界抬頭，淡淡微笑。
131,136,morning,早安，祝福我的朋友每天在開心中渡過，在快樂中前行。
132,137,others,每天告訴自己要努力，即使看不到未來，即使看不到希望，也依然相信自己。
133,138,morning,早安！我們能把握現在的自己，珍惜身邊的一切，生活一直都很簡單。
134,139,others,不要逃避問題；正視問題。
135,140,morning,今天很短，但今天很重要，早安朋友！
136,141,morning,早安！希望你充滿快樂。
137,142,morning,早安，我的朋友！走過一些路，才知道辛苦；道一聲問候，才知道這就是幸福。
138,143,others,給你一個輕輕的祝福，願它每分每秒都帶給你健康好運和幸福。希望你度過美好的一天！
139,144,morning,早安！一天第一個問候送給你，讓你有個好心情。
140,145,others,願一個問候帶給你一個新的心情，願一個祝福帶給你一個新的起點。
141,146,morning,早安朋友，請接受我的祝福。
142,147,others,一聲問候，一個願望，一串祝福望你心中常有快樂湧現。
143,148,morning,今天，又是美麗的一天！早安，朋友！
144,149,morning,一條簡訊，把我的祝福傳送：願早上好心情！
145,150,morning,早上好，一束陽光照在身，祝你天天都開心，朋友的祝福全都是真心。
146,151,morning,祝早上好心情，一路同行的人們！
147,152,morning,記得讓自己開心，我的朋友。早上好。
148,153,morning,把一天的快樂舉起，祝早安！
149,154,others,清晨曙光初現，幸福在你身邊，歡樂隨你一天！
150,155,morning,清清的晨風搖響快樂的鈴鐺，我的心奏起歡快的樂曲，說聲早安，向你問好！
151,156,morning,要正視壓力，輕鬆面對，早安！
152,157,others,太陽每天把幸福的陽光灑在你身上，祝願你事事如意！
153,158,morning,清晨的祝福，指引幸福的旅途；朋友，早安喲！
154,159,morning,早安！清晨的一個問候給你一個新的心情
155,160,morning,早上笑一笑，心情快樂精神好 。
156,161,morning,如果你想收穫更多，那就從這個清晨開始努力吧！早安！
157,162,morning,早安，朋友，願你今天好心情，生活工作都舒心！
158,163,morning,早安！整理衣衫，精神抖擻，大步向前。
159,164,morning,早安！晨光耀眼，陽光青年，為了理想，心向藍天。展現微笑，新的一天。
160,165,morning,把一天的溫暖送上你心頭，把一天的快樂送到你心田。早安！
161,166,morning,生命的每一個感動因你而開始，早上好！
162,167,morning,我幸福，因為有你一生伴隨。早安！
163,168,morning,每一個日出，總想帶去希望的問候：讓每天的空氣都是清新，讓每天的收穫都是充實，早安！
164,169,morning,美好的一天開始了，每天給自己一個希望，只為今天更美好。早安！
165,170,morning,美麗的早晨，把壓力釋放，清涼的秋風，把歡樂吹響，溫柔的陽光，把溫馨點亮，輕鬆的心情，把幸福送上，早安！
166,171,others,怕什麼路途遙遠。走一步有一步的風景，進一步有一步的歡喜。
167,172,morning,早上好，朋友！
168,173,morning,希望在這美麗的早晨時時見到開開心心的你，早安！
169,174,others,握緊我真誠的問候，為你在新的一天加油！
170,175,morning,早安！希望你的一天也如剛升起的紅日一般！
171,176,morning,早安！睜開眼睛，給你一個輕輕的祝福，願它每分每秒都帶給你健康好運和幸福。希望你度過美好的一天！
172,177,morning,祝早安，開心每天。願你的心情如白雲般自在。
173,178,morning,早上好！感謝你陪我走過每一個日子。
174,179,morning,早上好，我把清晨的第一縷陽光送給你。
175,180,morning,早上好，一束陽光照在身，祝你天天都開心。
176,181,morning,朋友，早安！用陽光照耀你，用幸福祝福你。
177,182,morning,早上好，願你有個好心情！
178,183,others,天亮了，美好的一天又開始了。
179,184,morning,早安！微笑吧，快樂心情，開心一天。
180,185,others,起床吧，呼吸清新，擁抱陽光。
181,186,others,晨光照耀，幸福來到。
182,187,morning,親愛的朋友，早安！美好的一天屬於你！
183,188,morning,早上好！早起伸懶腰，面對鏡子笑，快樂每一秒！
184,189,morning,朋友，早安！給你祝福，祝你在絢麗的晨光中走好每一天。
185,190,morning,早安，把心淨空，就像寧靜明朗的清晨。
186,191,morning,早安！願有我的日子你每天都精彩，每步都精彩，每刻都快樂，每分都如意，每秒都幸福。
187,192,morning,幸福在路上，早安！
188,193,morning,早安，冷冷的清晨，捎上我暖暖的問候
189,194,christmas,聖誕節快樂，今晚平安夜，送你滿滿的祝福
190,195,others,祝福好友，甜蜜喜樂，快樂相隨
191,196,morning,早安，小週末愉快
192,197,morning,早安，冷冷天氣，暖暖祝福
193,198,christmas,平安夜快樂，滿滿的聖誕祝福，願你時時皆快樂，幸福快樂又安康，明年一定會更好
194,199,morning,早安，快樂的氛圍，滿滿的祝福
195,200,morning,早安，幸福健康，富貴吉祥，闔家福氣滿滿
